"Table 940-92031 : Persons arrested for crime by type of offence, age group and sex",,,,,,,,,,,,,
 ,,,,,,,,,,,,,
 , ,Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2),Persons arrested for crime (1) (2)
,,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Age group,,10月15日,10月15日,10月15日,16-20,16-20,16-20,≧21,≧21,≧21,Total,Total,Total
Sex,,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes
Year,Type of offence,,,,,,,,,,,,
2009,     Shop theft,518,600,1118,201,258,459,2999,3171,6170,3718,4029,7747
2009,     Theft from vehicle,12,1,13,9,0,9,158,4,162,179,5,184
2009,     Taking conveyance without authority,7,0,7,30,3,33,108,4,112,145,7,152
2009,     Other thefts,553,161,714,466,128,594,2685,1330,4015,3704,1619,5323
2009,     Handling stolen goods,15,4,19,9,3,12,72,20,92,96,27,123
2009,"     Deception, fraud and forgery",33,20,53,156,54,210,1690,736,2426,1879,810,2689
2009,     Sexual offences (other than rape and indecent assault),95,1,96,169,4,173,462,112,574,726,117,843
2009,     Serious drug offences,120,49,169,770,176,946,2149,433,2582,3039,658,3697
2009,     Serious immigration offences,5,1,6,34,30,64,320,187,507,359,218,577
2009,     Criminal damage,147,16,163,132,15,147,1189,216,1405,1468,247,1715
2009,     Unlawful society offences,138,14,152,166,9,175,270,13,283,574,36,610
2009,     Possession of arms/ammunition/offensive weapon,35,5,40,67,13,80,363,125,488,465,143,608
2009,     Other crimes,236,61,297,511,78,589,3740,1096,4836,4487,1235,5722
2009,Total,2834,1172,4006,3789,895,4684,23043,8992,32035,29666,11059,40725
2010,Violent crime,794,231,1025,1044,98,1142,5668,1290,6958,7506,1619,9125
2010,     Rape,5,0,5,35,0,35,86,2,88,126,2,128
2010,     Indecent assault,166,2,168,92,1,93,698,7,705,956,10,966
2010,     Murder and manslaughter,3,0,3,1,2,3,21,8,29,25,10,35
2010,     Attempted murder,0,0,0,0,0,0,0,0,0,0,0,0
2010,     Wounding,85,10,95,235,15,250,887,148,1035,1207,173,1380
2010,     Serious assault,303,117,420,424,47,471,2239,715,2954,2966,879,3845
2010,     Assault on police,1,0,1,23,2,25,210,32,242,234,34,268
2010,     Kidnapping and child stealing,0,0,0,1,0,1,3,4,7,4,4,8
2010,     Cruelty to child,0,0,0,2,4,6,133,129,262,135,133,268
2010,     Criminal intimidation,58,56,114,85,17,102,1020,209,1229,1163,282,1445
2010,     Robbery with firearms/arms,0,0,0,0,0,0,1,0,1,1,0,1
2010,     Robbery with pistol-like objects,0,0,0,0,0,0,5,0,5,5,0,5
2010,     Other robberies,83,10,93,92,4,96,176,5,181,351,19,370
2010,     Aggravated burglary,0,0,0,0,0,0,2,0,2,2,0,2
2010,     Blackmail,60,26,86,35,5,40,143,25,168,238,56,294
2010,     Arson,30,10,40,19,1,20,44,6,50,93,17,110
2010,Non-violent crime,1752,799,2551,2512,601,3113,15564,7603,23167,19828,9003,28831
2010,     Burglary,38,8,46,32,5,37,365,22,387,435,35,470
2010,     Snatching,16,8,24,17,1,18,67,3,70,100,12,112
2010,     Pickpocketing,0,0,0,2,1,3,194,53,247,196,54,250
2010,     Shop theft,492,518,1010,144,173,317,2795,3366,6161,3431,4057,7488
